,artist_uri,artist
208,spotify:artist:5EORJzqrFf7pwweCv9fUnV,Shirley Brown
209,spotify:artist:7LMO4vkA2xYpGYbzsggPbk,The For Carnation
210,spotify:artist:1Z4Erxt5wSXH0gbOsVJUMv,Crocodiles
211,spotify:artist:3I8ExTKigDuneCoO1D7aYS,Nicolay
212,spotify:artist:27T030eWyCQRmDyuvr1kxY,Scorpions
213,spotify:artist:5r5Va4lVQ1zjEfbJSrmCsS,Broods
214,spotify:artist:1j1YJWmnDC3NXNJJ81xKUb,Black To Comm
215,spotify:artist:6b5YOgXIliAozdo49vUCJQ,Izzy Bizu
216,spotify:artist:5Mu0EMEsUIVE132pNMywns,Skinny Puppy
217,spotify:artist:3MCjwjfIor5FkK3h639qkW,Rufus
218,spotify:artist:6sqZoZxe9BQwk7Zxh6STfF,Kadhja Bonet
219,spotify:artist:5ZATfKurLqflrBhv2FLht5,Horace Silver
220,spotify:artist:183vQCgpuNJHxdDCYIpkA4,Crash Of Rhinos
221,spotify:artist:38euc5ce2q2MMzaoJcPstz,Josh Rouse
222,spotify:artist:3Rsr4Z96O6U3lToOiV3zBh,Jamie T
223,spotify:artist:2YiWXa7E1raYyY0uQDLpgs,Lo Fidelity Allstars
224,spotify:artist:7jHWye55igIZ6SsF4eXKkP,Lafawndah
225,spotify:artist:0VIiIxTNLeJOPoMLabwNtr,Florist
226,spotify:artist:3FU61shb6MdX8NLBnBauTI,Pascal Michael Stiefel
227,spotify:artist:4mO4aGO6u29UyR6XLZR9XW,The New Pornographers
228,spotify:artist:416gMRzj1LnFJvSBF5PO2R,Chickenfoot
229,spotify:artist:4XqfpACObRB5AsBcUYjL8X,MC Eiht
230,spotify:artist:7uXzqanGH5YKBVLs3cXHk5,Eraldo Bernocchi
231,spotify:artist:0IuuBhRo5hWaprWXOT06Bl,SPC ECO
232,spotify:artist:6UEYawMcp2M4JFoXVOtZEq,Dustin O'Halloran
233,spotify:artist:3xIkJAnwLy7NwZpPwvaSPc,Sugar Pie DeSanto
234,spotify:artist:2pAajGWerK3ghwToNWFENS,Puscifer
235,spotify:artist:2LIdnZDzySb04oH40be1fR,Fairport Convention
236,spotify:artist:0gLjJuczGWhqKVMmVpIT52,Turnover
237,spotify:artist:16bN8mhtDFdegWbg0z3s10,Hüsker Dü
238,spotify:artist:3KMQ9QBrGeOl3xlOpq9kjL,Homewrecker
239,spotify:artist:2NHvG0lx27x07cSzMn51KO,DM DOKURO
240,spotify:artist:0a63dfrxBQKqh160P8iUNL,Country Joe & The Fish
241,spotify:artist:7swiuMho0UMNYbZqcO0dho,Akhlys
242,spotify:artist:0cNUrcNznBuZErkcSdHoxJ,Tears Run Rings
243,spotify:artist:05LTJdcIWfHyQXC1za07k8,BRIDGE
244,spotify:artist:3544ImlskUwZqWJTmqWUsa,Myrkur
245,spotify:artist:5i74r8NAl9N4v6S3C9mgcc,Stephen Steinbrink
246,spotify:artist:3NZE8jDD2cCzd4vUyZ5CQQ,Spacehog
247,spotify:artist:2sYkCcYzUQfNjOtw0mIOJL,Onsind
248,spotify:artist:5hDwYJ7KaXEQV2XBeijKNt,La Chat
249,spotify:artist:2pbePWVNtbsPWxUgYg7a79,Mombojó
250,spotify:artist:1hQuWl1dueM7ChRUZRn05z,Opus III
251,spotify:artist:160vd9V7P2OiPVOndsKCJO,Iron Reagan
252,spotify:artist:5CuU6SRJjbbZL926nSGGxX,Open Mike Eagle
253,spotify:artist:7HvQfRNJCvPXTVirKKB0Nn,Moondog
254,spotify:artist:3WifYZsO8WO6hGlWIDM4Zq,Ben Salisbury
255,spotify:artist:3qkZBMz5JgmRN9u5wwhRC6,The Hold Steady
256,spotify:artist:6w7fc6IZlo5zwBaKT5jU1X,The Lemonheads
257,spotify:artist:4egL1JbZdtppKXl547U1vW,Federico Durand
258,spotify:artist:3Ev1WS21x5Jav9j214A19O,Earl Hooker
259,spotify:artist:601893mmW5hl1FBOykWZHG,Deborah Cox
260,spotify:artist:1KP6TWI40m7p3QBTU6u2xo,BØRNS
261,spotify:artist:2ZM47IuC500uguN3EKyRY4,Chaz Bundick Meets The Mattson 2
262,spotify:artist:1HHyE1TCzui5Lay0gwS6bR,Drahla
263,spotify:artist:7zeHJIIfNStVfxlbT72UwY,Peter Murphy
264,spotify:artist:71vVmHeNgCVSa5SVmfvscU,Saxon
265,spotify:artist:3HZGp40qZu7sjn5KswiU3Q,Papa Grows Funk
266,spotify:artist:65q3jOsehtX9q8E5m9FRpQ,Mão Morta
267,spotify:artist:6iuM8yp1x2N0l6SONhyq4b,Ramblin' Jack Elliott
268,spotify:artist:5OLgWkV7opwcxN7zOhKb6g,Skinless
269,spotify:artist:2ebK4ueGwhVaXUm060m1BS,Captain Beefheart
270,spotify:artist:7xYxgSJaIf7yOFLmknYX38,The 13th Floor Elevators
271,spotify:artist:6hSnbFV44BMzWgP9alWsTc,Joel Alme
272,spotify:artist:0azLE0hIUlbMbV0g2Ezt9m,Xploding Plastix
273,spotify:artist:0Z5pcmXDCKTrFWLnDChC37,Miami Horror
274,spotify:artist:538ZIoOw6wW1xdjuIaQHOS,Brant Bjork
275,spotify:artist:0I6yADrmeyvw66g7yjkqIF,The Living Tombstone
276,spotify:artist:0jrFMgW018F1XVnLtCXOKi,Fabrizio Paterlini
277,spotify:artist:2mVTkiwfm4ic6DnHpmFq8K,Immortal
278,spotify:artist:2ffi5jpoJUZy24fTeNsFMa,Hidden Spheres
279,spotify:artist:4nQSh4CawJC9OZSqwNDS8W,The Angelic Process
280,spotify:artist:5I2hMUcztc6QbzkyLskdt4,The Birthday Party
281,spotify:artist:0L9xkvBPcEp1nrhDrodxc5,Level 42
282,spotify:artist:2bGK38Qvf603fcckzUYYui,Whitey Morgan and the 78's
283,spotify:artist:33EUXrFKGjpUSGacqEHhU4,Iggy Pop
284,spotify:artist:0WPY9nnBy01s5QOt4o4oQX,Ride
